feature,importance
gene_PSTPIP1,0.0
gene_PSPH,0.0
gene_PSORS1C2,0.0
gene_PSMG2,0.0
gene_PTCRA,0.0
gene_PURA,0.0
gene_PUM1,0.0
gene_PUF60,0.0
gene_PTS,0.0
gene_PTPRT,0.0
gene_PTPRS,0.0
gene_PTPRQ,0.0
gene_PTPRO,0.0
gene_PTPRN2,0.0
gene_PTPRN,0.0
gene_PTPRM,0.0
gene_PTPRJ,0.0
gene_PTPRG,0.0
gene_PTHLH,0.0
gene_PTPRD,0.0
gene_PTPRC,0.0
gene_PTPN6,0.0
gene_PTPN5,0.0
gene_PTPN4,0.0
gene_PTPN3,0.0
gene_PTPN23,0.0
gene_PTPN14,0.0
gene_PTPN12,0.0
gene_PTPN11,0.0
gene_PTPN1,0.0
gene_PTPMT1,0.0
gene_PTK2,0.0
gene_PTPRF,0.0
gene_PRSS50,0.0
gene_PRSS38,0.0
gene_PRSS36,0.0
gene_PRSS35,0.0
gene_PRSS16,0.0
gene_PRSS1,0.0
gene_PRRX1,0.0
gene_PRRT3,0.0
gene_PRRG2,0.0
gene_PRRG1,0.0
gene_PRRC2C,0.0
gene_PRRC2A,0.0
gene_PSME4,0.0
gene_PRR27,0.0
gene_PRR23B,0.0
gene_PRR14L,0.0
gene_PRR12,0.0
gene_PRR11,0.0
gene_PRPS1,0.0
gene_PRPH2,0.0
gene_PRPF8,0.0
gene_PRPF6,0.0
gene_PRPF4,0.0
gene_PRPF31,0.0
gene_PRPF3,0.0
gene_PRPF19,0.0
gene_PRR29,0.0
gene_PSME2,0.0
gene_PSMD8,0.0
gene_PSMD5,0.0
gene_PSMD12,0.0
gene_PSMD11,0.0
gene_PSMC3,0.0
gene_PSMB8,0.0
gene_PSMB1,0.0
gene_PSMA3,0.0
gene_PSMA2,0.0
gene_PSKH1,0.0
gene_PSG7,0.0
gene_PSG6,0.0
gene_PRSS53,0.0
gene_PSENEN,0.0
gene_PSEN2,0.0
gene_PSEN1,0.0
gene_PSD4,0.0
gene_PSD,0.0
gene_PSAT1,0.0
gene_PSAP,0.0
gene_PRX,0.0
gene_PRUNE2,0.0
gene_PRUNE1,0.0
gene_PRTN3,0.0
gene_PRSS56,0.0
gene_PRSS55,0.0
gene_PSG2,0.0
gene_RAP1GDS1,0.0
gene_RAP1B,0.0
gene_RANGRF,0.0
gene_RANGAP1,0.0
gene_RANBP2,0.0
gene_RALGDS,0.0
gene_RALGAPB,0.0
gene_RALA,0.0
gene_RAI14,0.0
gene_RAG2,0.0
gene_RAG1,0.0
gene_RAF1,0.0
gene_PUS1,0.0
gene_RAD54L,0.0
gene_RAD52,0.0
gene_RAD51D,0.0
gene_RAD51C,0.0
gene_RAD51B,0.0
gene_RAD51AP1,0.0
gene_RAD51,0.0
gene_RAD50,0.0
gene_RAD23B,0.0
gene_RAD23A,0.0
gene_RAD21L1,0.0
gene_RAD17,0.0
gene_RACGAP1,0.0
gene_RAD54L2,0.0
gene_RBM10,0.0
gene_RBL1,0.0
gene_RBFOX3,0.0
gene_RBFOX2,0.0
gene_RBFOX1,0.0
gene_RBFA,0.0
gene_RBCK1,0.0
gene_RBBP8,0.0
gene_RBBP5,0.0
gene_RB1CC1,0.0
gene_RB1,0.0
gene_RAVER2,0.0
gene_RASSF6,0.0
gene_RAPGEF2,0.0
gene_RASL11A,0.0
gene_RASL10B,0.0
gene_RASGRP4,0.0
gene_RASGRP2,0.0
gene_RASGRP1,0.0
gene_RASAL1,0.0
gene_RASA3,0.0
gene_RASA2,0.0
gene_RASA1,0.0
gene_RARS2,0.0
gene_RARS1,0.0
gene_RAPSN,0.0
gene_RAPGEF3,0.0
gene_RASL12,0.0
gene_QSOX1,0.0
gene_QSER1,0.0
gene_QRSL1,0.0
gene_QRICH2,0.0
gene_QRICH1,0.0
gene_QDPR,0.0
gene_QARS1,0.0
gene_PZP,0.0
gene_PYROXD2,0.0
gene_PYROXD1,0.0
gene_PYGM,0.0
gene_PYGL,0.0
gene_RAC2,0.0
gene_PYDC1,0.0
gene_PYCR2,0.0
gene_PYCR1,0.0
gene_PYCARD,0.0
gene_PXMP2,0.0
gene_PXDNL,0.0
gene_PXDN,0.0
gene_PWWP3B,0.0
gene_PWP2,0.0
gene_PVR,0.0
gene_PVALB,0.0
gene_PUS7,0.0
gene_PUS3,0.0
gene_PYGB,0.0
gene_RAC1,0.0
gene_RABL6,0.0
gene_RABL3,0.0
gene_RABEPK,0.0
gene_RAB7A,0.0
gene_RAB43,0.0
gene_RAB41,0.0
gene_RAB40AL,0.0
gene_RAB3GAP2,0.0
gene_RAB3GAP1,0.0
gene_RAB3D,0.0
gene_RAB3A,0.0
gene_RAB39B,0.0
gene_QSOX2,0.0
gene_RAB2B,0.0
gene_RAB28,0.0
gene_RAB27A,0.0
gene_RAB25,0.0
gene_RAB23,0.0
gene_RAB1B,0.0
gene_RAB1AP1,0.0
gene_RAB14,0.0
gene_RAB11FIP3,0.0
gene_RAB11FIP1,0.0
gene_RAB11B,0.0
gene_RAB11A,0.0
gene_QTRT1,0.0
gene_RAB33B,0.0
gene_MYO7A,0.0
gene_MYO6,0.0
gene_MYO5C,0.0
gene_MYO5B,0.0
gene_MYO5A,0.0
gene_MYO3B,0.0
gene_MYO3A,0.0
gene_MYO1H,0.0
gene_MYO1F,0.0
gene_MYO1E,0.0
gene_MYO1D,0.0
gene_MYO1C,0.0
gene_RPUSD1,0.0
gene_MYO19,0.0
gene_MYO18B,0.0
gene_MYO16,0.0
gene_MYO15B,0.0
gene_MYO10,0.0
gene_MYMK,0.0
gene_MYLK3,0.0
gene_MYLK2,0.0
gene_MYLK,0.0
gene_MYLIP,0.0
gene_MYL7,0.0
gene_MYL4,0.0
gene_MYL3,0.0
gene_MYO1A,0.0
gene_NACC2,0.0
gene_NACC1,0.0
gene_NACAD,0.0
gene_NAALADL1,0.0
gene_NAALAD2,0.0
gene_NAAA,0.0
gene_NAA35,0.0
gene_NAA20,0.0
gene_NAA15,0.0
gene_N4BP2L1,0.0
gene_MYT1L,0.0
gene_MYT1,0.0
gene_MYO7B,0.0
gene_MYRF,0.0
gene_MYPN,0.0
gene_MYOZ3,0.0
gene_MYOZ2,0.0
gene_MYOT,0.0
gene_MYORG,0.0
gene_MYOM2,0.0
gene_MYOM1,0.0
gene_MYOF,0.0
gene_MYOD1,0.0
gene_MYOC,0.0
gene_MYO9B,0.0
gene_MYO9A,0.0
gene_MYSM1,0.0
gene_MUTYH,0.0
gene_MUSK,0.0
gene_MUC6,0.0
gene_MUC5B,0.0
gene_MUC5AC,0.0
gene_MUC4,0.0
gene_MUC22,0.0
gene_MUC2,0.0
gene_MUC12,0.0
gene_MUC1,0.0
gene_MTUS2,0.0
gene_MTTP,0.0
gene_MYL2,0.0
gene_MTRFR,0.0
gene_MTR,0.0
gene_MTPAP,0.0
gene_MTO1,0.0
gene_MTMR9,0.0
gene_MTMR4,0.0
gene_MTMR2,0.0
gene_MTMR14,0.0
gene_MTM1,0.0
gene_MTHFS,0.0
gene_MTHFR,0.0
gene_MTHFD1,0.0
gene_MTFMT,0.0
gene_MTRR,0.0
gene_MYHAS,0.0
gene_MYH9,0.0
gene_MYH7B,0.0
gene_MYH6,0.0
gene_MYH4,0.0
gene_MYH3,0.0
gene_MYH2,0.0
gene_MYH15,0.0
gene_MYH14,0.0
gene_MYH11,0.0
gene_MYH10,0.0
gene_MYH1,0.0
gene_MYF6,0.0
gene_MVK,0.0
gene_MYEF2,0.0
gene_MYCN,0.0
gene_MYCBP2,0.0
gene_MYC,0.0
gene_MYBPH,0.0
gene_MYBPC3,0.0
gene_MYBPC1,0.0
gene_MYBBP1A,0.0
gene_MYB,0.0
gene_MXRA8,0.0
gene_MXRA5,0.0
gene_MX2,0.0
gene_MVP,0.0
gene_MYF5,0.0
gene_NEGR1,0.0
gene_NEFL,0.0
gene_NEFH,0.0
gene_NEDD4L,0.0
gene_NECTIN1,0.0
gene_NECAP1,0.0
gene_NEBL,0.0
gene_NDUFV2,0.0
gene_NDUFV1,0.0
gene_NDUFS8,0.0
